01/0001,"雜歌 / 泊瀬朝倉宮御宇天皇代 [<大>泊瀬稚武天皇] / 天皇御製歌","篭毛與 美篭母乳 布久思毛與 美夫君志持 此岳尓 菜採須兒 家吉閑名 告<紗>根 虚見津 山跡乃國者 押奈戸手 吾許曽居 師<吉>名倍手 吾己曽座 我<許>背齒 告目 家呼毛名雄母","篭もよ み篭持ち 堀串もよ み堀串持ち この岡に 菜摘ます子 家聞かな 告らさね そらみつ 大和の国は おしなべて 我れこそ居れ しきなべて 我れこそ座せ 我れこそば 告らめ 家をも名をも","こもよ みこもち ふくしもよ みぶくしもち このをかに なつますこ いへきかな のらさね そらみつ やまとのくには おしなべて われこそをれ しきなべて われこそませ われこそば のらめ いへをもなをも","なし","雑歌 [元][紀] <> / 太 -> 大 [紀][冷][文] / 吉 [玉小琴](塙)(楓) 告 /沙 -> 紗 [元][類][冷] / 告 -> 吉 [玉小琴] / 許者 -> 許 [元][類][古]","雑歌 作者：雄略天皇 朝倉宮 野遊び 演劇 妻問媿 予祝 枕詞 地名 奈良","こもよ[寛],#みこもち[寛],#ふくしもよ[寛],#みぶくしもち,[寛]みふくしもち,#このをかに[寛],#なつますこ,[寛]なつむすこ,#いへきかな[寛],#のらさね,[寛]つけさね,#そらみつ[寛],#やまとのくには[寛],#おしなべて,[寛]おしなへて,#われこそをれ,[寛]われこそをらし,#しきなべて,[寛]つけなへて,#われこそませ[略],[寛]われこそをらし,#われこそば,[寛]われこそは,#のらめ,[寛]せなにはつけめ,#いへをもなをも[寛],##"
01/0012,"（中皇命徃于紀温泉之時御歌）","吾欲之 野嶋波見世追 底深伎 阿胡根能浦乃 珠曽不拾 [或頭云 吾欲 子嶋羽見遠]","我が欲りし野島は見せつ底深き阿胡根の浦の玉ぞ拾はぬ [或頭云 我が欲りし子島は見しを]","わがほりし のしまはみせつ そこふかき あごねのうらの たまぞひりはぬ [わがほりし こしまはみしを]","右檢山上憶良大夫類聚歌林曰 天皇御製歌[云々]","なし","雑歌 作者：中皇命：間人皇女 紀州 和歌山 羈旅 異伝 魂触り","わがほりし,[寛]わかほりし,#のしまはみせつ[寛],#そこふかき[寛],#あごねのうらの,[寛]あこねのうらの,#たまぞひりはぬ,[寛]たまそひろはす,#[わがほりし],#[こしまはみしを],[寛]しまはみつるを,##"
01/0013,"中大兄[近江宮御宇天皇]<三山歌>","高山波 雲根火雄男志等 耳梨與 相諍競伎 神代従 如此尓有良之 古昔母 然尓有許曽 虚蝉毛 嬬乎 相<挌>良思吉","香具山は 畝傍を愛しと 耳成と 相争ひき 神代より かくにあるらし 古も しかにあれこそ うつせみも 妻を争ふらしき","かぐやまは うねびををしと みみなしと あひあらそひき かむよより かくにあるらし いにしへも しかにあれこそ うつせみも つまを あらそふらしき","なし","三山歌一首 -> 三山歌 [元][紀][古] / 格 -> 挌 [元][冷][文][紀]","雑歌 作者：中大兄：天智 三山歌 兵庫 妻争媿 羈旅 地名 伝説","かぐやまは,[寛]かくやまは,#うねびををしと,[寛]うねひををしと,#みみなしと[寛],#あひあらそひき[寛],#かむよより,[寛]かみよより,#かくにあるらし,[寛]かかるにあらし,#いにしへも[寛],#しかにあれこそ[寛],#うつせみも[寛],#つまを[寛],#あらそふらしき,[寛]あひうつらしき,##"
01/0014,"（中大兄[近江宮御宇天皇]<三山歌>）反歌","高山与 耳梨山与 相之時 立見尓来之 伊奈美國波良","香具山と耳成山と闘ひし時立ちて見に来し印南国原","かぐやまと みみなしやまと あひしとき たちてみにこし いなみくにはら","なし","なし","雑歌 作者：中大兄：天智 三山歌 兵庫 妻争媿 羈旅 地名 伝説","かぐやまと,[寛]かくやまと,#みみなしやまと[寛],#あひしとき[寛],#たちてみにこし[寛],#いなみくにはら,[寛]いなひくにはら,###"
01/0015,"（（中大兄[近江宮御宇天皇]<三山歌>）反歌）","渡津海乃 豊旗雲尓 伊理比<紗>之 今夜乃月夜 清明己曽","海神の豊旗雲に入日さし今夜の月夜さやけくありこそ","わたつみの とよはたくもに いりひさし こよひのつくよ さやけくありこそ","右一首歌今案不似反歌也 但舊本以此歌載於反歌 故今猶載此次 亦紀曰 天豊財重日足姫天皇先四年乙巳立天皇為皇太子","祢 -> 紗 [澤潟注釈] [元][類][冷] 弥","雑歌 作者：中大兄：天智 三山歌 兵庫 妻争媿 羈旅","わたつみの[寛],#とよはたくもに[寛],#いりひさし[寛],#こよひのつくよ,[寛]こよひのつきよ,#さやけくありこそ,[寛]すみあかくこそ,##"
01/0016,"近江大津宮御宇天皇代 [天命開別天皇謚曰天智天皇] / 天皇詔内大臣藤原朝臣競憐春山萬花之艶秋山千葉之彩時額田王以歌判之歌","冬木成 春去来者 不喧有之 鳥毛来鳴奴 不開有之 花毛佐家礼抒 山乎茂 入而毛不取 草深 執手母不見 秋山乃 木葉乎見而者 黄葉乎婆 取而曽思努布 青乎者 置而曽歎久 曽許之恨之 秋山吾者","冬こもり 春さり来れば 鳴かずありし 鳥も来鳴きぬ 咲かずありし 花も咲けれど 山を茂み 入りても取らず 草深み 取りても見ず 秋山の 木の葉を見ては 黄葉をば 取りてぞ偲ふ 青きをば 置きてぞ嘆く そこし恨めし 秋山吾は","ふゆこもり はるさりくれば なかずありし とりもきなきぬ さかずありし はなもさけれど やまをしみ いりてもとらず くさふかみ とりてもみず あきやまの このはをみては もみちをば とりてぞしのふ あをきをば おきてぞなげく そこしうらめし あきやまわれは","なし","なし","雑歌 作者：額田王 近江朝 大津 春秋優劣 植物 枕詞 宮廷","ふゆこもり,[寛]ふゆこなり,#はるさりくれば,[寛]はるさりくれは,#なかずありし,[寛]なかさりし,#とりもきなきぬ[寛],#さかずありし,[寛]さかさりし,#はなもさけれど,[寛]はなもさけれと,#やまをしみ,[寛]やまをしけみ,#いりてもとらず,[寛]いりてもとらす,#くさふかみ[寛],#とりてもみず,[寛]とりてもみえす,#あきやまの[寛],#このはをみては[寛],#もみちをば,[寛]もみちをは,#とりてぞしのふ,[寛]とりてそしのふ,#あをきをば,[寛]あをきをは,#おきてぞなげく,[寛]おきてそなけく,#そこしうらめし,[寛]そこしうらみし,#あきやまわれは,[寛]あきやまそわれは,##"
01/0017,"額田王下近江國時<作>歌井戸王即和歌","味酒 三輪乃山 青丹吉 奈良能山乃 山際 伊隠萬代 道隈 伊積流萬代尓 委曲毛 見管行武雄 數々毛 見放武八萬雄 情無 雲乃 隠障倍之也","味酒 三輪の山 あをによし 奈良の山の 山の際に い隠るまで 道の隈 い積もるまでに つばらにも 見つつ行かむを しばしばも 見放けむ山を 心なく 雲の 隠さふべしや","うまさけ みわのやま あをによし ならのやまの やまのまに いかくるまで みちのくま いつもるまでに つばらにも みつつゆかむを しばしばも みさけむやまを こころなく くもの かくさふべしや","（右二首歌山上憶良大夫類聚歌林曰 遷都近江國時 御覧三輪山御歌焉 日本書紀曰 六年丙寅春三月辛酉朔己卯遷都于近江）","<> -> 作 [元][類][紀]","雑歌 作者：額田王 天智 代作 三輪山 鎮魂 国魂 枕詞 地名","うまさけ,[寛]うまさかの,#みわのやま[寛],#あをによし[寛],#ならのやまの[寛],#やまのまに,[寛]やまのはに,#いかくるまで,[寛]いかくるるまて,#みちのくま[寛],#いつもるまでに,[寛]いつもるまてに,#つばらにも,[寛]まくはしも,#みつつゆかむを[寛],#しばしばも,[寛]しはしはも,#みさけむやまを[寛],#こころなく,[寛]こころなき,#くもの[寛],#かくさふべしや,[寛]かくさふへしや,##"
01/0018,"（額田王下近江國時<作>歌井戸王即和歌）反歌","三輪山乎 然毛隠賀 雲谷裳 情有南畝 可苦佐布倍思哉","三輪山をしかも隠すか雲だにも心あらなも隠さふべしや","みわやまを しかもかくすか くもだにも こころあらなも かくさふべしや","右二首歌山上憶良大夫類聚歌林曰 遷都近江國時 御覧三輪山御歌焉 日本書紀曰 六年丙寅春三月辛酉朔己卯遷都于近江","畝 [類] 武","雑歌 作者：額田王 天智 代作 三輪山 鎮魂 国魂 地名","みわやまを,[寛]みはやまを,#しかもかくすか[寛],#くもだにも,[寛]くもたにも,#こころあらなも,[寛]こころあらなむ,#かくさふべしや,[寛]かくさふへしや,##"
01/0019,"（（額田王下近江國時<作>歌井戸王即和歌）反歌）","綜麻形乃 林始乃 狭野榛能 衣尓著成 目尓都久和我勢","綜麻形の林のさきのさ野榛の衣に付くなす目につく吾が背","へそかたの はやしのさきの さのはりの きぬにつくなす めにつくわがせ","右一首歌今案不似和歌 但舊本載于此次 故以猶載焉","なし","雑歌 作者：井戸王 三輪山 和歌 古歌 植物 枕詞","へそかたの,[寛]そまかたの,#はやしのさきの,[寛]はやしはしめの,#さのはりの,[寛]さのはきの,#きぬにつくなす,[寛]ころもにきなし,#めにつくわがせ,[寛]めにつくわかせ,##"
01/0020,"天皇遊猟蒲生野時額田王作歌","茜草指 武良前野逝 標野行 野守者不見哉 君之袖布流","あかねさす紫野行き標野行き野守は見ずや君が袖振る","あかねさす むらさきのゆき しめのゆき のもりはみずや きみがそでふる","（紀曰 天皇七年丁卯夏五月五日縦猟於蒲生野 于時<大>皇弟諸王内臣及群臣 皆悉従焉）","なし","雑歌 作者：額田王 滋賀 野遊び 求婚 宴席 枕詞 植物","あかねさす[寛],#むらさきのゆき[寛],#しめのゆき[寛],#のもりはみずや,[寛]のもりはみすや,#きみがそでふる,[寛]きみかそてふる,##"
01/0021,"（天皇遊猟蒲生野時額田王作歌）皇太子答御歌 [明日香宮御宇天皇謚曰天武天皇]","紫草能 尓保敝類妹乎 尓苦久有者 人嬬故尓 吾戀目八方","紫のにほへる妹を憎くあらば人妻故に我れ恋ひめやも","むらさきの にほへるいもを にくくあらば ひとづまゆゑに われこひめやも","紀曰 天皇七年丁卯夏五月五日縦猟於蒲生野 于時<大>皇弟諸王内臣及群臣 皆悉従焉","天 -> 大 [元][冷][紀] / 皆悉 [元][冷] 悉皆","雑歌 作者：大海人 天武 滋賀 野遊び 求婚 宴席 枕詞","むらさきの,[寛]あきはきの,#にほへるいもを[寛],#にくくあらば,[寛]にくくあらは,#ひとづまゆゑに,[寛]ひとつまゆゑに,#われこひめやも,[寛]わかこひめやも,##"
01/0022,"明日香清御原宮天皇代 [天渟中原瀛真人天皇謚曰天武天皇] / 十市皇女参赴於伊勢神宮時見波多横山巌吹芡刀自作歌","河上乃 湯津盤村二 草武左受 常丹毛冀名 常處女煮手","川の上のゆつ岩群に草生さず常にもがもな常処女にて","かはのへの ゆついはむらに くさむさず つねにもがもな とこをとめにて","吹芡刀自未詳也 但紀曰 天皇四年乙亥春二月乙亥朔丁亥十市皇女阿閇皇女参赴於伊勢神宮","盤 [文][温] 磐","雑歌 作者：吹芡刀自 十市皇女 阿閇皇女 三重 予祝","かはのへの,[寛]かはかみの,#ゆついはむらに,[寛]ゆつはのむらに,#くさむさず,[寛]くさむさす,#つねにもがもな,[寛]つねにもかもな,#とこをとめにて[寛],##"
01/0023,"麻續王流於伊勢國伊良虞嶋之時人哀傷作歌","打麻乎 麻續王 白水郎有哉 射等篭荷四間乃 珠藻苅麻須","打ち麻を麻続の王海人なれや伊良虞の島の玉藻刈ります","うちそを をみのおほきみ あまなれや いらごのしまの たまもかります","（右案日本紀曰 天皇四年乙亥夏四月戊戌朔乙卯三位麻續王有罪流于因幡 一子流伊豆嶋 一子流血鹿嶋也 是云配于伊勢國伊良虞嶋者 若疑後人縁歌辞而誤記乎）","なし","雑歌 作者：時人 麻続王 愛知 伝承 枕詞 地名 植物","うちそを,[寛]うつあさを,#をみのおほきみ[寛],#あまなれや[寛],#いらごのしまの,[寛]いらこかしまの,#たまもかります[寛],##"
01/0024,"（麻續王流於伊勢國伊良虞嶋之時人哀傷作歌）麻續王聞之感傷和歌","空蝉之 命乎惜美 浪尓所濕 伊良虞能嶋之 玉藻苅食","うつせみの命を惜しみ波に濡れ伊良虞の島の玉藻刈り食す","うつせみの いのちををしみ なみにぬれ いらごのしまの たまもかりをす","右案日本紀曰 天皇四年乙亥夏四月戊戌朔乙卯三位麻續王有罪流于因幡 一子流伊豆嶋 一子流血鹿嶋也 是云配于伊勢國伊良虞嶋者 若疑後人縁歌辞而誤記乎","なし","雑歌 作者：麻続王 愛知 伝承 歌語り 枕詞 植物 地名","うつせみの[寛],#いのちををしみ[寛],#なみにぬれ,[寛]なみにひて,#いらごのしまの,[寛]いらこのしまの,#たまもかりをす,[寛]たまもかります,##"
01/0025,"天皇御製歌","三吉野之 耳我嶺尓 時無曽 雪者落家留 間無曽 雨者零計類 其雪乃 時無如 其雨乃 間無如 隈毛不落 <念>乍叙来 其山道乎","み吉野の 耳我の嶺に 時なくぞ 雪は降りける 間無くぞ 雨は降りける その雪の 時なきがごと その雨の 間なきがごと 隈もおちず 思ひつつぞ来る その山道を","みよしのの みみがのみねに ときなくぞ ゆきはふりける まなくぞ あめはふりける そのゆきの ときなきがごと そのあめの まなきがごと くまもおちず おもひつつぞくる そのやまみちを","なし","思 -> 念 [元][類][紀][古]","雑歌 作者：大海人：天武 異伝 吉野 民謡 地名","みよしのの[寛],#みみがのみねに,[寛]みかのみねに,#ときなくぞ,[寛]ときなくそ,#ゆきはふりける[寛],#まなくぞ,[寛]まなくそ,#あめはふりける,[寛]あめはふりなる,#そのゆきの[寛],#ときなきがごと,[寛]ときなきかこと,#そのあめの[寛],#まなきがごと,[寛]ひまなきかこと,#くまもおちず,[寛]くまもおちす,#おもひつつぞくる,[寛]おもひつつそくる,#そのやまみちを[寛],##"
01/0026,"（天皇御製歌）或本歌","三芳野之 耳我山尓 時自久曽 雪者落等言 無間曽 雨者落等言 其雪 不時如 其雨 無間如 隈毛不堕 思乍叙来 其山道乎","み吉野の 耳我の山に 時じくぞ 雪は降るといふ 間なくぞ 雨は降るといふ その雪の 時じきがごと その雨の 間なきがごと 隈もおちず 思ひつつぞ来る その山道を","みよしのの みみがのやまに ときじくぞ ゆきはふるといふ まなくぞ あめはふるといふ そのゆきの ときじきがごと そのあめの まなきがごと くまもおちず おもひつつぞくる そのやまみちを","右句々相換因此重載焉","なし","雑歌 作者：大海人：天武 異伝 吉野 民謡 13/3260 13/3293 地名","みよしのの[寛],#みみがのやまに,[寛]みかねに,#ときじくぞ,[寛]ときしくそ,#ゆきはふるといふ[寛],#まなくぞ,[寛]ひまなくそ,#あめはふるといふ[寛],#そのゆきの[寛],#ときじきがごと,[寛]ときならぬこと,#そのあめの[寛],#まなきがごと,[寛]ひまなきかこと,#くまもおちず,[寛]くまもおちす,#おもひつつぞくる,[寛]おもひつつそくる,#そのやまみちを[寛],##"
01/0027,"天皇幸于吉野宮時御製歌","淑人乃 良跡吉見而 好常言師 芳野吉見<与> 良人四来三","淑き人のよしとよく見てよしと言ひし吉野よく見よ良き人よく見","よきひとの よしとよくみて よしといひし よしのよくみよ よきひとよくみ","紀曰 八年己卯五月庚辰朔甲申幸于吉野宮","多 -> 与 [元（朱）] [寛] 與 [西（右書）] 欲","雑歌 作者：大海人：天武 吉野 行幸 地名 土地讃美","よきひとの[寛],#よしとよくみて[寛],#よしといひし[寛],#よしのよくみよ[寛],#よきひとよくみ,[寛]よきひとよきみ,##"
01/0028,"藤原宮御宇天皇代[高天原廣野姫天皇 元年丁亥十一年譲位軽太子 <尊>号曰太上天皇] / 天皇御製歌","春過而 夏来良之 白妙能 衣乾有 天之香来山","春過ぎて夏来るらし白栲の衣干したり天の香具山","はるすぎて なつきたるらし しろたへの ころもほしたり あめのかぐやま","なし","<> -> 尊 [元][冷][紀]","雑歌 作者：持統天皇 飛鳥 季節 地名 枕詞","はるすぎて,[寛]はるすきて,#なつきたるらし,[寛]なつきにけらし,#しろたへの[寛],#ころもほしたり,[寛]ころもさらせり,#あめのかぐやま,[寛]あまのかくやま,##"
